Terrain Entity Table (1345)
-------------------------------------
DIR      |Sup Elev  |Grade   |Curve  
-----------------------------------------------
0.0000   |0         |0.0500  |0.0000 
0.2301   |0         |0.0400  |0.0000 
0.3840   |0         |-0.0700 |0.0000 
0.4270   |0         |0.1700  |0.0000 
0.5823   |0         |0.0700  |0.0000 
0.8153   |0         |-0.1000 |0.0000 
0.9335   |0         |-0.4200 |0.0000 
1.0670   |0         |-0.9900 |0.0000 
1.0950   |0         |-0.6100 |0.0000 
1.2160   |0         |-0.6600 |0.0000 
1.2723   |0         |-0.6600 |0.7950 
1.3979   |0         |-0.5200 |0.7950 
1.4772   |0         |-0.5200 |0.0000 
1.5189   |0         |-1.2800 |0.0000 
1.5223   |0         |-0.4600 |0.0000 
1.5842   |0         |-0.5600 |0.0000 
2.0589   |0         |-0.3300 |0.0000 
2.3804   |0         |-0.4200 |0.0000 
2.5168   |0         |-0.5899 |0.0000 
3.0676   |0         |-0.3300 |0.0000 
3.1494   |0         |-0.0900 |0.0000 
3.2202   |0         |0.1200  |0.0000 
3.2293   |0         |0.1200  |2.4190 
3.3481   |0         |0.1200  |2.7280 
3.3585   |0         |-0.1500 |2.7280 
3.4484   |0         |-0.1500 |0.0000 
3.4890   |0         |0.0800  |0.0000 
3.6287   |0         |0.5200  |0.0000 
3.7903   |0         |0.3800  |0.0000 
3.8897   |0         |0.5899  |0.0000 
4.0946   |0         |0.4800  |0.0000 
4.1856   |0         |0.3600  |0.0000 
4.2706   |0         |0.3600  |0.2190 
4.3219   |0         |0.5000  |0.2190 
4.5488   |0         |0.7700  |0.2190 
4.6700   |0         |0.4300  |0.2190 
4.7702   |0         |0.4300  |0.9660 
4.8517   |0         |0.6200  |0.9660 
4.9231   |0         |0.6200  |1.1780 
5.0030   |0         |0.3899  |1.1780 
5.0659   |0         |0.3899  |0.0000 
5.0786   |0         |0.6000  |0.0000 
5.2149   |0         |0.2300  |0.0000 
5.3511   |0         |0.0300  |0.0000 
5.4267   |0         |-0.1800 |0.0000 
5.5933   |0         |-0.3800 |0.0000 
5.6840   |0         |-0.2700 |0.0000 
5.8808   |0         |-0.3899 |0.0000 
6.1382   |0         |-0.2900 |0.0000 
6.8193   |0         |-0.4000 |0.0000 
6.9554   |0         |-0.2800 |0.0000 
7.6214   |0         |-0.3100 |0.0000 
8.2268   |0         |-0.2600 |0.0000 
8.6354   |0         |-0.2800 |0.0000 
9.0454   |0         |-0.0300 |0.0000 
9.2564   |0         |-0.0300 |0.0520 
9.2685   |0         |0.0900  |0.0520 
9.3469   |0         |-0.1400 |0.0520 
9.4554   |0         |0.0500  |0.0520 
9.8534   |0         |0.3000  |0.0520 
9.9500   |0         |0.0000  |0.0520 
10.0765  |0         |0.2000  |0.0520 
10.0952  |0         |0.2000  |0.6620 
10.2454  |0         |0.0900  |0.6620 
10.2651  |0         |0.0900  |0.0000 
10.4443  |0         |0.0300  |0.0000 
10.6344  |0         |-0.0900 |0.0000 
10.8079  |0         |-0.2000 |0.0000 
10.8822  |0         |-0.4000 |0.0000 
10.9731  |0         |-0.6100 |0.0000 
11.6507  |0         |-0.5400 |0.0000 
11.7912  |0         |-0.6700 |0.0000 
11.9566  |0         |-0.5899 |0.0000 
12.4689  |0         |-0.6800 |0.0000 
12.5846  |0         |-0.5700 |0.0000 
12.9233  |0         |-0.6200 |0.0000 
13.3244  |0         |-0.5800 |0.0000 
13.8524  |0         |-0.6400 |0.0000 
14.2026  |0         |-0.5000 |0.0000 
14.2647  |0         |-0.7200 |0.0000 
14.4513  |0         |-0.5899 |0.0000 
14.6532  |0         |-0.4500 |0.0000 
14.7649  |0         |-0.5100 |0.0000 
14.8244  |0         |-0.6600 |0.0000 
15.3030  |0         |-0.5500 |0.0000 
15.8729  |0         |-0.6500 |0.0000 
16.1325  |0         |-0.7500 |0.0000 
16.1661  |0         |-0.5200 |0.0000 
16.2827  |0         |-0.6500 |0.0000 
16.4511  |0         |-0.5400 |0.0000 
16.6909  |0         |-0.6100 |0.0000 
17.0664  |0         |-0.6600 |0.0000 
17.3255  |0         |-0.5800 |0.0000 
17.7142  |0         |-0.4300 |0.0000 
17.8308  |0         |-0.5899 |0.0000 
18.1092  |0         |-0.6500 |0.0000 
18.2539  |0         |-0.4500 |0.0000 
18.2653  |0         |-0.4500 |0.4910 
18.4155  |0         |-0.6600 |0.4910 
18.4265  |0         |-0.6600 |1.0640 
18.4964  |0         |-0.4400 |1.0640 
18.5668  |0         |-0.4400 |0.9460 
18.5770  |0         |-0.8200 |0.9460 
18.7170  |0         |-0.8200 |1.1680 
